Ticker,Fitur,Fold,Dense_Units,Hidden_Units,Dropout,LR,Batch_Size,Optimizer,Best_Epoch,Val_Loss,Val_MAE,Val_MAPE,Val_RMSE,Val_R2
ADRO,Open_High_Volume_LAG,4,128,224,0.3538249539056505,0.0035625995859684713,16,Adam,22,0.9373779892921448,0.7399808043686855,0.11750583542008074,0.9373779995294451,0.4036641773623316
ADRO,Open_High_Volume_LAG,5,128,192,0.2277991821388715,0.0012044291407535103,16,Adam,10,0.34134212136268616,0.24197419573521592,0.07395997996002186,0.34134211330021297,0.8827340318217811
ADRO,High_Low_Volume_LAG,1,128,224,0.4026558126731315,0.0034673860522313445,16,Adam,43,0.4850107729434967,0.37339572992623793,0.2577118117022999,0.4850107743338217,0.42718671418215537
ADRO,High_Low_Volume_LAG,2,96,224,0.3957715910541585,0.0014330917768281646,16,AdamW,49,0.289113849401474,0.21332781622340816,1.7969978428839564,0.2891138434880612,0.30659169197651703
ADRO,High_Low_Volume_LAG,3,32,256,0.39137693415796126,0.002439708025370498,64,RMSprop,26,0.4167367219924927,0.29392913594323244,0.5083506269829641,0.41673673708970327,0.777698508982957
ADRO,High_Low_Volume_LAG,4,128,192,0.18698990247298572,0.003306130502363796,32,Adam,7,0.9347834587097168,0.7590120164602617,0.11897941506038749,0.93478340778967,0.40696083392420535
ADRO,High_Low_Volume_LAG,5,192,192,0.15890290825960618,0.0021929839855686414,16,AdamW,20,0.31693482398986816,0.2337679413649903,0.07555858196999068,0.31693482609431,0.8989044183267035
ADRO,OHLVC_LAG,1,160,192,0.42424006215443827,0.001974321382144987,32,RMSprop,31,0.4675360321998596,0.3551757745773036,0.2523084486732795,0.4675360140622387,0.4677196306134662
ADRO,OHLVC_LAG,2,192,96,0.2540409323129874,0.0016276691384915192,16,SGD,9,0.29229775071144104,0.2112573979635265,1.4575680289557433,0.2922977611265889,0.2912350313415084
ADRO,OHLVC_LAG,3,256,192,0.346178766791562,0.0015060563849027256,16,RMSprop,7,0.43398481607437134,0.3090818323019666,0.516326326719114,0.43398480666046607,0.7589162974315962
ADRO,OHLVC_LAG,4,128,256,0.4883607687777214,0.0049950540524783815,32,Adam,78,0.8259437680244446,0.6631691186424566,0.10931701646812175,0.8259437931612879,0.5370198472804806
ADRO,OHLVC_LAG,5,96,224,0.2108545200250601,0.003649567682432693,16,Adam,19,0.31488096714019775,0.2203880805718684,0.06969090736004835,0.3148809560788025,0.9002104559030861
