Ticker,Fitur,Fold,Best_Epoch,Val_Loss,Val_MAE,Val_MAPE,Val_RMSE,Val_R2,,
ADRO,OHLVC_EMA_MACD,5,100,175792.9219,373.6298828,0.159620193,418.1845343,-2.042441486,,
ADRO,OHLVC_RSI_MACD,1,81,1198.789307,25.45141983,0.059697278,36.46430196,0.607285686,,
ADRO,OHLVC_RSI_MACD,2,99,8614.99707,60.16226959,0.082467074,93.29943128,0.583331518,,
ADRO,OHLVC_RSI_MACD,3,100,371026.5625,582.9254761,0.355062942,609.0699366,-10.39793591,,
ADRO,OHLVC_RSI_MACD,4,30,7006.909668,62.4079628,0.152566104,232.2045942,-3.857702817,,
ADRO,OHLVC_RSI_MACD,5,82,167900.8438,370.977478,0.158419523,411.5751708,-1.917039366,,
ADRO,OHLVC_MA_EMA_RSI,1,98,1210.007568,25.80113792,0.058312306,34.36075716,0.659687214,,
ADRO,OHLVC_MA_EMA_RSI,2,97,9066.641602,59.88336563,0.093639761,100.8754495,0.518175531,,
ADRO,OHLVC_MA_EMA_RSI,3,98,353917.3438,567.0646973,0.344985565,595.2733324,-9.883662395,,
ADRO,OHLVC_MA_EMA_RSI,4,67,7640.007324,65.81803131,0.068760333,110.1828788,-0.12521645,,
ADRO,OHLVC_MA_EMA_RSI,5,93,210062.6719,414.6530457,0.18067715,463.3237447,-2.751688497,,
ADRO,OHLVC_MA_RSI_MACD,1,73,1230.492065,26.44173813,0.060067571,34.58182187,0.655087345,,
ADRO,OHLVC_MA_RSI_MACD,2,74,9274.948242,60.6599617,0.0826734,92.9810776,0.585661808,,
ADRO,OHLVC_MA_RSI_MACD,3,98,331276.9688,547.081665,0.333465261,577.0714924,-9.237284104,,
ADRO,OHLVC_MA_RSI_MACD,4,29,8408.800781,68.69663239,0.141256172,203.581289,-2.754119088,,
ADRO,OHLVC_MA_RSI_MACD,5,92,186023.8438,386.7416077,0.191312256,480.8191806,-3.02912217,,
ADRO,OHLVC_EMA_RSI_MACD,1,74,1213.551636,25.6210289,0.066268999,38.10718126,0.592458234,,
ADRO,OHLVC_EMA_RSI_MACD,2,87,9720.731445,61.67925644,0.094517151,103.6175159,0.494125017,,
ADRO,OHLVC_EMA_RSI_MACD,3,94,338294.7813,553.0587769,0.339927434,587.8191711,-9.615666859,,
ADRO,OHLVC_EMA_RSI_MACD,4,41,8573.498047,70.33944702,0.187225933,263.342859,-5.260241297,,
ADRO,OHLVC_EMA_RSI_MACD,5,78,154947.2656,351.6962891,0.171116425,439.4849819,-2.366542144,,
ADRO,OHLVC_MA_EMA_RSI_MACD,1,94,1206.64624,25.82871246,0.06532326,37.11149782,0.607348761,,
ADRO,OHLVC_MA_EMA_RSI_MACD,2,82,10192.27734,62.93806458,0.088617235,99.89334156,0.528598095,,
ADRO,OHLVC_MA_EMA_RSI_MACD,3,91,329364.1563,545.4309082,0.34301174,591.5563839,-9.743142387,,
ADRO,OHLVC_MA_EMA_RSI_MACD,4,33,8630.707031,69.69802094,0.093302911,143.0146607,-0.892060951,,
ADRO,OHLVC_MA_EMA_RSI_MACD,5,95,194508.7656,394.9530334,0.197391472,482.6306854,-3.053206579,,
